Documents,ISBN,Title,Author,Year Pub,Req-Rec   
0,9781260139716,CORPORATE FINANCE (LOOSEPGS),ROSS,N/A,CHC,
1,9780887276385,INTEGRATED CHINESE: SIMP CHAR (LVL 1:PT 1)(TEXTBOOK),LIU,2009,REQ,
1,9781437706963,THOMPSON & .... GENETICS IN MEDICINE (W/BIND-IN ACCESS),NUSSBAUM,2016,REQ,
1,9781259918940,CORPORATE FINANCE (RRMCG),ROSS,N/A,CHC,
1,9780321527707,GLOBAL INVESTMENTS,SOLNIK,2009,REQ,
1,9781936221868,ORGANIC CHEMISTRY (SG-SOL MNL),LOUDON,2015,REC,
1,9780394713519,WOMEN, RACE & CLASS,DAVIS,1981,REQ,
1,9780393614039,MICROBIOLOGY (W/DIGITAL PRODUCT ACCESS CODE),FOSTER,2017,REQ,
1,9781464126147,MOLECULAR BIOLOGY,COX,2015,REC,
0,9781119503590,INTERMEDIATE ACCOUNTING 2 TERM ACCESS CODE,KIESO,2019,CHC,
0,9781337559508,MINDTAP ENGLISH FOR ROSENWASSER/STEPHEN'S WRITING ANALYTICALLY, 8TH EDITION,ROSENWASSER DAVID STEPHEN J,N/A,CHC,
1,9781464134227,LABORATORY TECHNIQUES IN ORGANIC CHEMISTRY,MOHRIG,2014,REQ,
1,9780679744726,FIRE NEXT TIME,BALDWIN,1963,REQ,
0,9780140135152,WAYS OF SEEING,BERGER,1972,REQ,
0,9781119503583,INTERMEDIATE ACCOUNTING (LOOSE PGS)(W/WILEY PLUS),KIESO,2019,CHC,
1,9781107149892,COMPUTER AGE STATISTICAL INFERENCE,EFRON,2016,BR,
0,9781337758437,WRITING ANALYTICALLY (W/ MINDTAP ENGLISH ACC),ROSENWASSER,N/A,CHC,
0,9781308487014,MANAGERIAL ACCOUNTING (CUSTOM),MCGRAW,N/A,REQ,
0,9781337758437,WRITING ANALYTICALLY (W/ MINDTAP ENGLISH ACC),ROSENWASSER,N/A,CHC,
1,9780134472089,OPTIONS, FUTURES, & OTHER DERIVATIVES (W/BIND-IN ACC),HULL,2018,REQ,
1,9780840049315,PRIN OF MODERN CHEMISTRY  (W/OUT ACCESS),OXTOBY,2012,REQ,
0,9781118137888,VENTURE CAPITAL AND THE FINANCE OF INNOVATION,YASUDA,N/A,REC,
0,9781260140811,CORPORATE FINANCE,ROSS,N/A,REQ,
0,9780134631509,OPTIONS, FUTURES, AND OTHER DERIVATIVES,HULL,N/A,REQ,
0,9781260819427,INVESTMENTS,BODIE,N/A,REQ,
0,9781259715204,INVESTMENTS (LOOSE PGS),BODIE,2018,CHC,
1,9780887276408,INTEGRATED CHINESE: SIMP CHAR (LVL 1:PT 1)(WKBK),LIU,2009,REQ,
0,9781260139716,CORPORATE FINANCE (LOOSEPGS),ROSS,N/A,REQ,
1,9780070442429,A VOUS D'ECRIRE,LORIOT-RAYMER,1996,REQ,
0,9781319376826,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (12 MTHS ACCESS),MORRIS,N/A,CHC,
0,9781118137888,VENTURE CAPITAL AND THE FINANCE OF INNOVATION,YASUDA,N/A,REC,
0,9781260819427,INVESTMENTS,BODIE,N/A,REQ,
0,9781260140811,CORPORATE FINANCE,ROSS,N/A,REQ,
1,9780471395065,APPLIED MERGERS & ACQUISITIONS,BRUNER,2004,REQ,
